competition,match_stage,date,venue,club,opponent,match_score,player_position,goal_minute,score_at_goal,goal_type,assist_player,season,goal_decade,is_home_goal,goal_minute_bucket
2ª B - Grupo III,2,2004-09-05,Home,FC Barcelona B,Girona FC,1:2,LW,65,1:2,Left-footed shot,Dani Fernández,2004-05,2000s,True,61-75
2ª B - Grupo III,4,2004-09-18,Home,FC Barcelona B,RCD Espanyol B,2:0,LW,88,2:0,Left-footed shot,Dani Fernández,2004-05,2000s,True,76-90
2ª B - Grupo III,10,2004-10-31,Away,FC Barcelona B,Villajoyosa CF,2:1,AM,2,0:1,Not reported,Not Applicable,2004-05,2000s,False,0-15
2ª B - Grupo III,14,2004-11-28,Away,FC Barcelona B,UE Figueres,2:2,AM,20,0:1,Not reported,Not Applicable,2004-05,2000s,False,16-30
2ª B - Grupo III,17,2004-12-19,Home,FC Barcelona B,CD Alcoyano,2:0,CF,40,2:0,Left-footed shot,Not Applicable,2004-05,2000s,True,31-45
2ª B - Grupo III,33,2005-04-23,Home,FC Barcelona B,UE Figueres,2:2,AM,15,2:0,Right-footed shot,Paco Montañés,2004-05,2000s,True,0-15
LaLiga,34,2005-05-01,Home,FC Barcelona,Albacete Balompié,2:0,CF,91,2:0,Left-footed shot,Ronaldinho,2004-05,2000s,True,91+
UEFA Champions League,Group Stage,2005-11-02,Home,FC Barcelona,Panathinaikos FC,5:0,RW,34,3:0,Left-footed shot,Not Applicable,2005-06,2000s,True,31-45
LaLiga,13,2005-11-27,Home,FC Barcelona,Racing Santander,4:1,RW,51,2:0,Left-footed shot,Samuel Eto'o,2005-06,2000s,True,46-60
LaLiga,19,2006-01-15,Home,FC Barcelona,Athletic Bilbao,2:1,RW,50,2:1,Left-footed shot,Mark van Bommel,2005-06,2000s,True,46-60
LaLiga,20,2006-01-22,Home,FC Barcelona,Deportivo Alavés,2:0,CF,82,2:0,Left-footed shot,Ronaldinho,2005-06,2000s,True,76-90
LaLiga,21,2006-01-29,Away,FC Barcelona,RCD Mallorca,0:3,CF,75,0:2,Right-footed shot,Sylvinho,2005-06,2000s,False,61-75
LaLiga,21,2006-01-29,Away,FC Barcelona,RCD Mallorca,0:3,CF,83,0:3,Left-footed shot,Ronaldinho,2005-06,2000s,False,76-90
Copa del Rey,Quarter-Finals,2006-02-01,Home,FC Barcelona,Real Zaragoza,2:1,CF,42,1:0,Header,Ludovic Giuly,2005-06,2000s,True,31-45
LaLiga,24,2006-02-18,Home,FC Barcelona,Real Betis Balompié,5:1,RW,84,5:1,Left-footed shot,Not Applicable,2005-06,2000s,True,76-90
LaLiga,1,2006-08-28,Away,FC Barcelona,Celta de Vigo,2:3,LW,59,1:2,Left-footed shot,Andrés Iniesta,2006-07,2000s,False,46-60
LaLiga,2,2006-09-09,Home,FC Barcelona,CA Osasuna,3:0,RW,36,3:0,Left-footed shot,Samuel Eto'o,2006-07,2000s,True,31-45
UEFA Champions League,Group Stage,2006-09-27,Away,FC Barcelona,SV Werder Bremen,1:1,RW,89,1:1,Left-footed shot,Deco,2006-07,2000s,False,76-90
LaLiga,6,2006-10-15,Home,FC Barcelona,Sevilla FC,3:1,RW,80,3:1,Right-footed shot,Xavi,2006-07,2000s,True,76-90
LaLiga,26,2007-03-10,Home,FC Barcelona,Real Madrid,3:3,RW,11,1:1,Left-footed shot,Samuel Eto'o,2006-07,2000s,True,0-15
LaLiga,26,2007-03-10,Home,FC Barcelona,Real Madrid,3:3,RW,28,2:2,Left-footed shot,Not Applicable,2006-07,2000s,True,16-30
LaLiga,26,2007-03-10,Home,FC Barcelona,Real Madrid,3:3,RW,91,3:3,Left-footed shot,Ronaldinho,2006-07,2000s,True,91+
LaLiga,27,2007-03-17,Away,FC Barcelona,Recreativo Huelva,0:4,RW,86,0:4,Left-footed shot,Not Applicable,2006-07,2000s,False,76-90
LaLiga,28,2007-03-31,Home,FC Barcelona,Deportivo de La Coruña,2:1,RW,45,1:0,Left-footed shot,Ronaldinho,2006-07,2000s,True,31-45
Copa del Rey,Semi-Finals,2007-04-18,Home,FC Barcelona,Getafe CF,5:2,RW,29,2:0,Solo run,Xavi,2006-07,2000s,True,16-30
Copa del Rey,Semi-Finals,2007-04-18,Home,FC Barcelona,Getafe CF,5:2,RW,45,3:0,Left-footed shot,Deco,2006-07,2000s,True,31-45
LaLiga,35,2007-05-20,Away,FC Barcelona,Atlético de Madrid,0:6,RW,39,0:1,Left-footed shot,Samuel Eto'o,2006-07,2000s,False,31-45
LaLiga,35,2007-05-20,Away,FC Barcelona,Atlético de Madrid,0:6,RW,80,0:5,Left-footed shot,Giovanni van Bronckhorst,2006-07,2000s,False,76-90
LaLiga,37,2007-06-09,Home,FC Barcelona,RCD Espanyol Barcelona,2:2,RW,43,1:1,Not reported,Gianluca Zambrotta,2006-07,2000s,True,31-45
LaLiga,37,2007-06-09,Home,FC Barcelona,RCD Espanyol Barcelona,2:2,RW,57,2:1,Right-footed shot,Deco,2006-07,2000s,True,46-60
LaLiga,38,2007-06-17,Away,FC Barcelona,Gimnàstic de Tarragona,1:5,RW,34,0:2,Left-footed shot,Deco,2006-07,2000s,False,31-45
LaLiga,38,2007-06-17,Away,FC Barcelona,Gimnàstic de Tarragona,1:5,RW,51,0:4,Left-footed shot,Deco,2006-07,2000s,False,46-60
UEFA Champions League,Group Stage,2007-09-19,Home,FC Barcelona,Olympique Lyon,3:0,RW,82,2:0,Left-footed shot,Andrés Iniesta,2007-08,2000s,True,76-90
LaLiga,4,2007-09-22,Home,FC Barcelona,Sevilla FC,2:1,RW,72,1:0,Left-footed shot,Thierry Henry,2007-08,2000s,True,61-75
LaLiga,4,2007-09-22,Home,FC Barcelona,Sevilla FC,2:1,RW,79,2:0,Penalty,Not Applicable,2007-08,2000s,True,76-90
LaLiga,5,2007-09-26,Home,FC Barcelona,Real Zaragoza,4:1,RW,5,1:0,Left-footed shot,Thierry Henry,2007-08,2000s,True,0-15
LaLiga,5,2007-09-26,Home,FC Barcelona,Real Zaragoza,4:1,RW,10,2:1,Left-footed shot,Deco,2007-08,2000s,True,0-15
LaLiga,6,2007-09-29,Away,FC Barcelona,Levante UD,1:4,RW,50,0:4,Left-footed shot,Deco,2007-08,2000s,False,46-60
UEFA Champions League,Group Stage,2007-10-02,Away,FC Barcelona,VfB Stuttgart,0:2,RW,66,0:2,Deflected shot on goal,Thierry Henry,2007-08,2000s,False,61-75
LaLiga,7,2007-10-07,Home,FC Barcelona,Atlético de Madrid,3:0,RW,19,2:0,Left-footed shot,Ronaldinho,2007-08,2000s,True,16-30
LaLiga,9,2007-10-28,Home,FC Barcelona,UD Almería,2:0,RW,80,2:0,Penalty,Not Applicable,2007-08,2000s,True,76-90
UEFA Champions League,Group Stage,2007-11-07,Home,FC Barcelona,Rangers FC,2:0,RW,41,2:0,Tap-in,Not Applicable,2007-08,2000s,True,31-45
LaLiga,13,2007-11-24,Home,FC Barcelona,Recreativo Huelva,3:0,RW,81,3:0,Penalty,Not Applicable,2007-08,2000s,True,76-90
UEFA Champions League,Group Stage,2007-11-27,Away,FC Barcelona,Olympique Lyon,2:2,RW,58,1:2,Penalty,Not Applicable,2007-08,2000s,False,46-60
UEFA Champions League,Round of 16,2008-02-20,Away,FC Barcelona,Celtic FC,2:3,RW,18,1:1,Left-footed shot,Deco,2007-08,2000s,False,16-30
UEFA Champions League,Round of 16,2008-02-20,Away,FC Barcelona,Celtic FC,2:3,RW,79,2:3,Left-footed shot,Not Applicable,2007-08,2000s,False,76-90
LaLiga,25,2008-02-24,Home,FC Barcelona,Levante UD,5:1,RW,44,2:1,Left-footed shot,Xavi,2007-08,2000s,True,31-45
LaLiga,35,2008-05-04,Home,FC Barcelona,Valencia CF,6:0,RW,5,1:0,Penalty,Not Applicable,2007-08,2000s,True,0-15
LaLiga,2,2008-09-13,Home,FC Barcelona,Racing Santander,1:1,RW,70,1:0,Penalty,Not Applicable,2008-09,2000s,True,61-75
LaLiga,3,2008-09-21,Away,FC Barcelona,Sporting Gijón,1:6,RW,85,1:5,Left-footed shot,Andrés Iniesta,2008-09,2000s,False,76-90
LaLiga,3,2008-09-21,Away,FC Barcelona,Sporting Gijón,1:6,RW,89,1:6,Header,Xavi,2008-09,2000s,False,76-90
LaLiga,5,2008-09-27,Away,FC Barcelona,RCD Espanyol Barcelona,1:2,RW,90,1:2,Penalty,Not Applicable,2008-09,2000s,False,76-90
UEFA Champions League,Group Stage,2008-10-01,Away,FC Barcelona,Shakhtar Donetsk,1:2,RW,87,1:1,Right-footed shot,Bojan Krkic,2008-09,2000s,False,76-90
UEFA Champions League,Group Stage,2008-10-01,Away,FC Barcelona,Shakhtar Donetsk,1:2,RW,94,1:2,Left-footed shot,Xavi,2008-09,2000s,False,91+
LaLiga,6,2008-10-04,Home,FC Barcelona,Atlético de Madrid,6:1,RW,8,3:0,Direct free kick,Not Applicable,2008-09,2000s,True,0-15
UEFA Champions League,Group Stage,2008-10-22,Away,FC Barcelona,FC Basel 1893,0:5,CF,4,0:1,Left-footed shot,Dani Alves,2008-09,2000s,False,0-15
LaLiga,9,2008-11-01,Away,FC Barcelona,Málaga CF,1:4,RW,19,1:2,Left-footed shot,Not Applicable,2008-09,2000s,False,16-30
UEFA Champions League,Group Stage,2008-11-04,Home,FC Barcelona,FC Basel 1893,1:1,RW,61,1:0,Left-footed shot,Thierry Henry,2008-09,2000s,True,61-75
Copa del Rey,Fourth Round,2008-11-12,Home,FC Barcelona,Benidorm CD,1:0,RW,86,1:0,Penalty rebound,Not Applicable,2008-09,2000s,True,76-90
LaLiga,11,2008-11-16,Away,FC Barcelona,Recreativo Huelva,0:2,RW,51,0:1,Left-footed shot,Xavi,2008-09,2000s,False,46-60
UEFA Champions League,Group Stage,2008-11-26,Away,FC Barcelona,Sporting CP,2:5,RW,49,0:3,Left-footed shot,Dani Alves,2008-09,2000s,False,46-60
LaLiga,13,2008-11-29,Away,FC Barcelona,Sevilla FC,0:3,RW,78,0:2,Left-footed shot,Xavi,2008-09,2000s,False,76-90
LaLiga,13,2008-11-29,Away,FC Barcelona,Sevilla FC,0:3,RW,92,0:3,Left-footed shot,Aleksandr Hleb,2008-09,2000s,False,91+
LaLiga,15,2008-12-13,Home,FC Barcelona,Real Madrid,2:0,RW,91,2:0,Counter attack goal,Thierry Henry,2008-09,2000s,True,91+
Copa del Rey,Round of 16,2009-01-06,Away,FC Barcelona,Atlético de Madrid,1:3,RW,11,0:1,Left-footed shot,Dani Alves,2008-09,2000s,False,0-15
Copa del Rey,Round of 16,2009-01-06,Away,FC Barcelona,Atlético de Madrid,1:3,RW,57,0:2,Penalty,Not Applicable,2008-09,2000s,False,46-60
Copa del Rey,Round of 16,2009-01-06,Away,FC Barcelona,Atlético de Madrid,1:3,RW,79,1:3,Right-footed shot,Andrés Iniesta,2008-09,2000s,False,76-90
LaLiga,18,2009-01-11,Away,FC Barcelona,CA Osasuna,2:3,RW,84,2:3,Left-footed shot,Dani Alves,2008-09,2000s,False,76-90
LaLiga,19,2009-01-17,Home,FC Barcelona,Deportivo de La Coruña,5:0,RW,21,1:0,Left-footed shot,Not Applicable,2008-09,2000s,True,16-30
LaLiga,20,2009-01-24,Home,FC Barcelona,CD Numancia,4:1,RW,49,1:0,Left-footed shot,Dani Alves,2008-09,2000s,True,46-60
LaLiga,20,2009-01-24,Home,FC Barcelona,CD Numancia,4:1,RW,76,4:1,Right-footed shot,Not Applicable,2008-09,2000s,True,76-90
LaLiga,21,2009-02-01,Away,FC Barcelona,Racing Santander,1:2,RW,65,1:1,Right-footed shot,Xavi,2008-09,2000s,False,61-75
LaLiga,21,2009-02-01,Away,FC Barcelona,Racing Santander,1:2,RW,81,1:2,Right-footed shot,Not Applicable,2008-09,2000s,False,76-90
LaLiga,25,2009-03-01,Away,FC Barcelona,Atlético de Madrid,4:3,RW,30,0:2,Left-footed shot,Not Applicable,2008-09,2000s,False,16-30
Copa del Rey,Semi-Finals,2009-03-04,Away,FC Barcelona,RCD Mallorca,1:1,RW,81,1:1,Left-footed shot,Gerard Piqué,2008-09,2000s,False,76-90
LaLiga,26,2009-03-07,Home,FC Barcelona,Athletic Bilbao,2:0,RW,31,2:0,Penalty,Not Applicable,2008-09,2000s,True,31-45
UEFA Champions League,Round of 16,2009-03-11,Home,FC Barcelona,Olympique Lyon,5:2,RW,40,3:0,Left-footed shot,Samuel Eto'o,2008-09,2000s,True,31-45
LaLiga,28,2009-03-22,Home,FC Barcelona,Málaga CF,6:0,RW,26,2:0,Right-footed shot,Xavi,2008-09,2000s,True,16-30
UEFA Champions League,Quarter-Finals,2009-04-08,Home,FC Barcelona,Bayern Munich,4:0,RW,9,1:0,Left-footed shot,Samuel Eto'o,2008-09,2000s,True,0-15
UEFA Champions League,Quarter-Finals,2009-04-08,Home,FC Barcelona,Bayern Munich,4:0,RW,38,3:0,Right-footed shot,Thierry Henry,2008-09,2000s,True,31-45
LaLiga,31,2009-04-18,Away,FC Barcelona,Getafe CF,0:1,RW,18,0:1,Left-footed shot,Xavi,2008-09,2000s,False,16-30
LaLiga,33,2009-04-25,Away,FC Barcelona,Valencia CF,2:2,RW,23,0:1,Left-footed shot,Andrés Iniesta,2008-09,2000s,False,16-30
LaLiga,34,2009-05-02,Away,FC Barcelona,Real Madrid,2:6,CF,35,1:3,Left-footed shot,Xavi,2008-09,2000s,False,31-45
LaLiga,34,2009-05-02,Away,FC Barcelona,Real Madrid,2:6,CF,75,2:5,Left-footed shot,Xavi,2008-09,2000s,False,61-75
Copa del Rey,Final,2009-05-13,Home,FC Barcelona,Athletic Bilbao,4:1,RW,55,2:1,Left-footed shot,Samuel Eto'o,2008-09,2000s,True,46-60
UEFA Champions League,Final,2009-05-27,Home,FC Barcelona,Manchester United,2:0,RW,70,2:0,Header,Xavi,2008-09,2000s,True,61-75
Supercopa,Final,2009-08-23,Home,FC Barcelona,Athletic Bilbao,3:0,RW,50,1:0,Right-footed shot,Zlatan Ibrahimović,2009-10,2000s,True,46-60
Supercopa,Final,2009-08-23,Home,FC Barcelona,Athletic Bilbao,3:0,RW,68,2:0,Penalty,Not Applicable,2009-10,2000s,True,61-75
LaLiga,2,2009-09-12,Away,FC Barcelona,Getafe CF,0:2,RW,78,0:2,Header,Zlatan Ibrahimović,2009-10,2000s,False,76-90
LaLiga,3,2009-09-19,Home,FC Barcelona,Atlético de Madrid,5:2,RW,15,2:0,Left-footed shot,Xavi,2009-10,2000s,True,0-15
LaLiga,3,2009-09-19,Home,FC Barcelona,Atlético de Madrid,5:2,RW,93,5:2,Right-footed shot,Dani Alves,2009-10,2000s,True,91+
LaLiga,4,2009-09-22,Away,FC Barcelona,Racing Santander,1:4,RW,23,0:2,Left-footed shot,Xavi,2009-10,2000s,False,16-30
LaLiga,4,2009-09-22,Away,FC Barcelona,Racing Santander,1:4,RW,63,0:4,Left-footed shot,Xavi,2009-10,2000s,False,61-75
UEFA Champions League,Group Stage,2009-09-29,Home,FC Barcelona,Dynamo Kyiv,2:0,RW,25,1:0,Left-footed shot,Andrés Iniesta,2009-10,2000s,True,16-30
LaLiga,8,2009-10-25,Home,FC Barcelona,Real Zaragoza,6:1,RW,80,5:1,Left-footed shot,Andrés Iniesta,2009-10,2000s,True,76-90
LaLiga,10,2009-11-07,Home,FC Barcelona,RCD Mallorca,4:2,RW,86,4:1,Penalty,Not Applicable,2009-10,2000s,True,76-90
Copa del Rey,Fourth Round,2009-11-10,Home,FC Barcelona,Cultural Leonesa,5:0,RW,64,4:0,Left-footed shot,Pedro,2009-10,2000s,True,61-75
LaLiga,13,2009-12-05,Away,FC Barcelona,Deportivo de La Coruña,1:3,RW,26,0:1,Left-footed shot,Dani Alves,2009-10,2000s,False,16-30
LaLiga,13,2009-12-05,Away,FC Barcelona,Deportivo de La Coruña,1:3,RW,80,1:2,Header,Pedro,2009-10,2000s,False,76-90
UEFA Champions League,Group Stage,2009-12-09,Away,FC Barcelona,Dynamo Kyiv,1:2,RW,86,1:2,Direct free kick,Not Applicable,2009-10,2000s,False,76-90
Club World Cup,Semi-Finals,2009-12-16,Away,FC Barcelona,CF Atlante,1:3,RW,55,1:2,Left-footed shot,Zlatan Ibrahimović,2009-10,2000s,False,46-60
Club World Cup,Final,2009-12-19,Away,FC Barcelona,Club Estudiantes de La Plata,1:2,RW,110,1:2,Chest,Dani Alves,2009-10,2000s,False,91+
LaLiga,17,2010-01-10,Away,FC Barcelona,CD Tenerife,0:5,RW,36,0:1,Left-footed shot,Bojan Krkic,2009-10,2010s,False,31-45
LaLiga,17,2010-01-10,Away,FC Barcelona,CD Tenerife,0:5,RW,45,0:3,Right-footed shot,Bojan Krkic,2009-10,2010s,False,31-45
LaLiga,17,2010-01-10,Away,FC Barcelona,CD Tenerife,0:5,RW,75,0:4,Left-footed shot,Bojan Krkic,2009-10,2010s,False,61-75
LaLiga,18,2010-01-16,Home,FC Barcelona,Sevilla FC,4:0,RW,85,3:0,Left-footed shot,Dani Alves,2009-10,2010s,True,76-90
LaLiga,18,2010-01-16,Home,FC Barcelona,Sevilla FC,4:0,RW,91,4:0,Left-footed shot,Éric Abidal,2009-10,2010s,True,91+
LaLiga,19,2010-01-23,Away,FC Barcelona,Real Valladolid CF,0:3,RW,54,0:3,Left-footed shot,Zlatan Ibrahimović,2009-10,2010s,False,46-60
LaLiga,21,2010-02-06,Home,FC Barcelona,Getafe CF,2:1,RW,7,1:0,Left-footed shot,Yaya Touré,2009-10,2010s,True,0-15
LaLiga,24,2010-02-27,Home,FC Barcelona,Málaga CF,2:1,AM,84,2:1,Right-footed shot,Dani Alves,2009-10,2010s,True,76-90
LaLiga,25,2010-03-06,Away,FC Barcelona,UD Almería,2:2,RW,42,1:1,Direct free kick,Not Applicable,2009-10,2010s,False,31-45
LaLiga,25,2010-03-06,Away,FC Barcelona,UD Almería,2:2,RW,66,2:2,Left-footed shot,Not Applicable,2009-10,2010s,False,61-75
LaLiga,26,2010-03-14,Home,FC Barcelona,Valencia CF,3:0,CF,56,1:0,Left-footed shot,Xavi,2009-10,2010s,True,46-60
LaLiga,26,2010-03-14,Home,FC Barcelona,Valencia CF,3:0,CF,80,2:0,Left-footed shot,Thierry Henry,2009-10,2010s,True,76-90
LaLiga,26,2010-03-14,Home,FC Barcelona,Valencia CF,3:0,CF,82,3:0,Right-footed shot,Thierry Henry,2009-10,2010s,True,76-90
UEFA Champions League,Round of 16,2010-03-17,Home,FC Barcelona,VfB Stuttgart,4:0,CF,13,1:0,Left-footed shot,Yaya Touré,2009-10,2010s,True,0-15
UEFA Champions League,Round of 16,2010-03-17,Home,FC Barcelona,VfB Stuttgart,4:0,CF,56,3:0,Left-footed shot,Dani Alves,2009-10,2010s,True,46-60
LaLiga,27,2010-03-21,Away,FC Barcelona,Real Zaragoza,2:4,RW,4,0:1,Header,Pedro,2009-10,2010s,False,0-15
LaLiga,27,2010-03-21,Away,FC Barcelona,Real Zaragoza,2:4,RW,65,0:2,Left-footed shot,Not Applicable,2009-10,2010s,False,61-75
LaLiga,27,2010-03-21,Away,FC Barcelona,Real Zaragoza,2:4,RW,78,0:3,Left-footed shot,Andrés Iniesta,2009-10,2010s,False,76-90
LaLiga,30,2010-04-03,Home,FC Barcelona,Athletic Bilbao,4:1,CF,67,4:0,Left-footed shot,Pedro,2009-10,2010s,True,61-75
UEFA Champions League,Quarter-Finals,2010-04-06,Home,FC Barcelona,Arsenal FC,4:1,CF,21,1:1,Left-footed shot,Not Applicable,2009-10,2010s,True,16-30
UEFA Champions League,Quarter-Finals,2010-04-06,Home,FC Barcelona,Arsenal FC,4:1,CF,37,2:1,Right-footed shot,Pedro,2009-10,2010s,True,31-45
UEFA Champions League,Quarter-Finals,2010-04-06,Home,FC Barcelona,Arsenal FC,4:1,CF,42,3:1,Left-footed shot,Seydou Keita,2009-10,2010s,True,31-45
UEFA Champions League,Quarter-Finals,2010-04-06,Home,FC Barcelona,Arsenal FC,4:1,CF,88,4:1,Solo run,Not Applicable,2009-10,2010s,True,76-90
LaLiga,31,2010-04-10,Away,FC Barcelona,Real Madrid,0:2,CF,32,0:1,Right-footed shot,Xavi,2009-10,2010s,False,31-45
LaLiga,35,2010-05-01,Away,FC Barcelona,Villarreal CF,1:4,CF,18,0:1,Left-footed shot,Xavi,2009-10,2010s,False,16-30
LaLiga,35,2010-05-01,Away,FC Barcelona,Villarreal CF,1:4,CF,87,1:4,Left-footed shot,Dani Alves,2009-10,2010s,False,76-90
LaLiga,36,2010-05-04,Home,FC Barcelona,CD Tenerife,4:1,RW,16,1:0,Right-footed shot,Zlatan Ibrahimović,2009-10,2010s,True,16-30
LaLiga,36,2010-05-04,Home,FC Barcelona,CD Tenerife,4:1,RW,93,4:1,Right-footed shot,Dani Alves,2009-10,2010s,True,91+
LaLiga,37,2010-05-08,Away,FC Barcelona,Sevilla FC,2:3,CF,5,0:1,Left-footed shot,Maxwell,2009-10,2010s,False,0-15
LaLiga,38,2010-05-16,Home,FC Barcelona,Real Valladolid CF,4:0,CF,61,3:0,Right-footed shot,Yaya Touré,2009-10,2010s,True,61-75
LaLiga,38,2010-05-16,Home,FC Barcelona,Real Valladolid CF,4:0,CF,74,4:0,Left-footed shot,Yaya Touré,2009-10,2010s,True,61-75
Supercopa,Final,2010-08-21,Home,FC Barcelona,Sevilla FC,4:0,RW,25,2:0,Left-footed shot,Xavi,2010-11,2010s,True,16-30
Supercopa,Final,2010-08-21,Home,FC Barcelona,Sevilla FC,4:0,RW,43,3:0,Right-footed shot,Dani Alves,2010-11,2010s,True,31-45
Supercopa,Final,2010-08-21,Home,FC Barcelona,Sevilla FC,4:0,RW,91,4:0,Left-footed shot,Andrés Iniesta,2010-11,2010s,True,91+
LaLiga,1,2010-08-29,Away,FC Barcelona,Racing Santander,0:3,RW,3,0:1,Left-footed shot,Andrés Iniesta,2010-11,2010s,False,0-15
UEFA Champions League,Group Stage,2010-09-14,Home,FC Barcelona,Panathinaikos FC,5:1,CF,22,1:1,Left-footed shot,Xavi,2010-11,2010s,True,16-30
UEFA Champions League,Group Stage,2010-09-14,Home,FC Barcelona,Panathinaikos FC,5:1,CF,45,3:1,Left-footed shot,Pedro,2010-11,2010s,True,31-45
LaLiga,3,2010-09-19,Away,FC Barcelona,Atlético de Madrid,1:2,CF,12,0:1,Left-footed shot,Pedro,2010-11,2010s,False,0-15
LaLiga,6,2010-10-03,Home,FC Barcelona,RCD Mallorca,1:1,CF,20,1:0,Left-footed shot,Pedro,2010-11,2010s,True,16-30
UEFA Champions League,Group Stage,2010-10-20,Home,FC Barcelona,FC Copenhagen,2:0,CF,18,1:0,Left-footed shot,Andrés Iniesta,2010-11,2010s,True,16-30
UEFA Champions League,Group Stage,2010-10-20,Home,FC Barcelona,FC Copenhagen,2:0,CF,91,2:0,Left-footed shot,Éric Abidal,2010-11,2010s,True,91+
LaLiga,8,2010-10-23,Away,FC Barcelona,Real Zaragoza,0:2,CF,41,0:1,Left-footed shot,David Villa,2010-11,2010s,False,31-45
LaLiga,8,2010-10-23,Away,FC Barcelona,Real Zaragoza,0:2,CF,65,0:2,Left-footed shot,Not Applicable,2010-11,2010s,False,61-75
LaLiga,9,2010-10-30,Home,FC Barcelona,Sevilla FC,5:0,CF,4,1:0,Left-footed shot,Not Applicable,2010-11,2010s,True,0-15
LaLiga,9,2010-10-30,Home,FC Barcelona,Sevilla FC,5:0,CF,63,4:0,Left-footed shot,Not Applicable,2010-11,2010s,True,61-75
UEFA Champions League,Group Stage,2010-11-02,Away,FC Barcelona,FC Copenhagen,1:1,RW,31,0:1,Right-footed shot,Not Applicable,2010-11,2010s,False,31-45
LaLiga,10,2010-11-07,Away,FC Barcelona,Getafe CF,1:3,CF,23,0:1,Left-footed shot,David Villa,2010-11,2010s,False,16-30
Copa del Rey,Fourth Round,2010-11-10,Home,FC Barcelona,Club Atlético de Ceuta,5:1,RW,67,5:1,Left-footed shot,Thiago Alcántara,2010-11,2010s,True,61-75
LaLiga,11,2010-11-13,Home,FC Barcelona,Villarreal CF,3:1,CF,58,2:1,Right-footed shot,Pedro,2010-11,2010s,True,46-60
LaLiga,11,2010-11-13,Home,FC Barcelona,Villarreal CF,3:1,CF,83,3:1,Left-footed shot,Pedro,2010-11,2010s,True,76-90
LaLiga,12,2010-11-20,Away,FC Barcelona,UD Almería,0:8,CF,16,0:1,Left-footed shot,David Villa,2010-11,2010s,False,16-30
LaLiga,12,2010-11-20,Away,FC Barcelona,UD Almería,0:8,CF,36,0:5,Tap-in,Not Applicable,2010-11,2010s,False,31-45
LaLiga,12,2010-11-20,Away,FC Barcelona,UD Almería,0:8,CF,67,0:7,Tap-in,David Villa,2010-11,2010s,False,61-75
UEFA Champions League,Group Stage,2010-11-24,Away,FC Barcelona,Panathinaikos FC,0:3,CF,63,0:2,Left-footed shot,Adriano,2010-11,2010s,False,61-75
LaLiga,14,2010-12-04,Away,FC Barcelona,CA Osasuna,0:3,CF,64,0:2,Left-footed shot,David Villa,2010-11,2010s,False,61-75
LaLiga,14,2010-12-04,Away,FC Barcelona,CA Osasuna,0:3,CF,82,0:3,Penalty,Not Applicable,2010-11,2010s,False,76-90
LaLiga,15,2010-12-12,Home,FC Barcelona,Real Sociedad,5:0,CF,46,3:0,Left-footed shot,Dani Alves,2010-11,2010s,True,46-60
LaLiga,15,2010-12-12,Home,FC Barcelona,Real Sociedad,5:0,CF,86,4:0,Left-footed shot,Bojan Krkic,2010-11,2010s,True,76-90
LaLiga,18,2011-01-08,Away,FC Barcelona,Deportivo de La Coruña,0:4,CF,51,0:2,Direct free kick,Not Applicable,2010-11,2010s,False,46-60
Copa del Rey,Quarter-Finals,2011-01-12,Home,FC Barcelona,Real Betis Balompié,5:0,CF,44,1:0,Left-footed shot,Andrés Iniesta,2010-11,2010s,True,31-45
Copa del Rey,Quarter-Finals,2011-01-12,Home,FC Barcelona,Real Betis Balompié,5:0,CF,63,2:0,Left-footed shot,Not Applicable,2010-11,2010s,True,61-75
Copa del Rey,Quarter-Finals,2011-01-12,Home,FC Barcelona,Real Betis Balompié,5:0,CF,73,3:0,Left-footed shot,Xavi,2010-11,2010s,True,61-75
Copa del Rey,Quarter-Finals,2011-01-19,Away,FC Barcelona,Real Betis Balompié,3:1,RW,37,2:1,Left-footed shot,Xavi,2010-11,2010s,False,31-45
LaLiga,20,2011-01-22,Home,FC Barcelona,Racing Santander,3:0,CF,33,2:0,Penalty,Not Applicable,2010-11,2010s,True,31-45
Copa del Rey,Semi-Finals,2011-01-26,Home,FC Barcelona,UD Almería,5:0,CF,9,1:0,Left-footed shot,Pedro,2010-11,2010s,True,0-15
Copa del Rey,Semi-Finals,2011-01-26,Home,FC Barcelona,UD Almería,5:0,CF,15,3:0,Left-footed shot,Andrés Iniesta,2010-11,2010s,True,0-15
LaLiga,21,2011-01-29,Away,FC Barcelona,Hércules CF,0:3,CF,87,0:2,Left-footed shot,Dani Alves,2010-11,2010s,False,76-90
LaLiga,21,2011-01-29,Away,FC Barcelona,Hércules CF,0:3,CF,89,0:3,Left-footed shot,Dani Alves,2010-11,2010s,False,76-90
LaLiga,22,2011-02-05,Home,FC Barcelona,Atlético de Madrid,3:0,CF,16,1:0,Left-footed shot,Dani Alves,2010-11,2010s,True,16-30
LaLiga,22,2011-02-05,Home,FC Barcelona,Atlético de Madrid,3:0,CF,28,2:0,Left-footed shot,Pedro,2010-11,2010s,True,16-30
LaLiga,22,2011-02-05,Home,FC Barcelona,Atlético de Madrid,3:0,CF,78,3:0,Left-footed shot,David Villa,2010-11,2010s,True,76-90
LaLiga,24,2011-02-20,Home,FC Barcelona,Athletic Bilbao,2:1,CF,78,2:1,Right-footed shot,Dani Alves,2010-11,2010s,True,76-90
